,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.9,0.1,0.71,1.09,0.0,0.0,5436.75,3201.44,1.0
beta[0],0.8,0.1,0.62,0.99,0.0,0.0,6061.23,3062.47,1.0
beta[1],2.56,0.49,1.64,3.47,0.01,0.0,6799.3,3238.12,1.0
sigma,0.96,0.07,0.84,1.1,0.0,0.0,5420.04,2755.77,1.0
