Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
"""python ciw_MM1.py""",4.17,1.46,151%,0:03.71,0.0,0.0,0.0,0.0,68420.0,0.0,0.0,21939.0,22.0,4404.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""pypy3 ciw_MM1.py""",1.57,1.43,255%,0:01.17,0.0,0.0,0.0,0.0,138696.0,0.0,0.0,28847.0,16.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python simpy_MM1.py""",1.96,0.0,99%,0:01.98,0.0,0.0,0.0,0.0,27092.0,0.0,0.0,5490.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""pypy3 simpy_MM1.py""",1.35,0.03,98%,0:01.41,0.0,0.0,0.0,0.0,98248.0,0.0,0.0,13787.0,2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""python qt_MM1.py""",1.25,1.46,334%,0:00.81,0.0,0.0,0.0,0.0,80476.0,0.0,2.0,16163.0,27.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./cpp_MM1""",0.08,0.0,100%,0:00.08,0.0,0.0,0.0,0.0,4144.0,0.0,0.0,893.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
