Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
"""./rust_mm1""",0.13,0.0,100%,0:00.14,0.0,0.0,0.0,0.0,3352.0,0.0,0.0,1755.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3368.0,0.0,0.0,1752.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3456.0,0.0,0.0,1257.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3320.0,0.0,0.0,1749.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3404.0,0.0,0.0,340.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,1230.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3204.0,0.0,0.0,1751.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3300.0,0.0,0.0,1744.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3348.0,0.0,0.0,1747.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.11,0.0,100%,0:00.11,0.0,0.0,0.0,0.0,3364.0,0.0,0.0,1749.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3360.0,0.0,0.0,1742.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3300.0,0.0,0.0,1748.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3396.0,0.0,0.0,290.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3292.0,0.0,0.0,288.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3284.0,0.0,0.0,1754.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3320.0,0.0,0.0,1742.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3368.0,0.0,0.0,1754.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.12,0.01,99%,0:00.13,0.0,0.0,0.0,0.0,3132.0,0.0,0.0,1742.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3340.0,0.0,0.0,728.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3236.0,0.0,0.0,1743.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3368.0,0.0,0.0,341.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3292.0,0.0,0.0,1750.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3284.0,0.0,0.0,1519.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3188.0,0.0,0.0,1740.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3228.0,0.0,0.0,1748.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3320.0,0.0,0.0,957.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3472.0,0.0,0.0,342.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3412.0,0.0,0.0,1710.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3340.0,0.0,0.0,1743.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.09,0.0,98%,0:00.10,0.0,0.0,0.0,0.0,3392.0,0.0,0.0,889.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
